subject,valid_percentage_mean,valid_percentage_std,valid_percentage_compute_ci95,grammar_coverage_score_mean,grammar_coverage_score_std,grammar_coverage_score_compute_ci95,covered_rules_mean,covered_rules_std,covered_rules_compute_ci95,valid_solutions_mean,valid_solutions_std,valid_solutions_compute_ci95,total_inputs_mean,total_inputs_std,total_inputs_compute_ci95,mean_length_mean,mean_length_std,mean_length_compute_ci95,median_length_mean,median_length_std,median_length_compute_ci95
BYTE,62.819,21.180867388597036,15.151879760881725,0.4854,0.041708778718900705,0.029836662896167904,23.3,2.002775851439973,1.4326995364388628,1921.3,743.1946133640457,531.649399150168,3075.3,651.9378037819251,466.36821019874833,69.33099999999999,17.036714243721477,12.187331189294946,69.6,17.708754896942924,12.668080111669946
Math,23.326999999999998,2.4172989977337207,1.7292315318247826,0.3633,0.0,4.185831612432143e-17,109.0,0.0,0.0,935.3,97.67070526348557,69.86941352125974,4013.8,193.28436161377485,138.267302896545,28.913999999999998,1.1385292657147164,0.8144547728787319,30.7,1.3374935098492589,0.9567852189616103
PERSON,25.605,19.013581841526978,13.60149707757475,1.0086400000000002,0.15779545268761358,0.11288006681085165,350.0,54.75196597180578,39.16719697340209,505.7,385.51698334112916,275.78223640205437,1892.8,231.2832798875776,165.45009150312475,33.653,3.766749409120696,2.69457020287541,34.3,4.110960958218892,2.940804311637666
