subject,valid_percentage_mean,valid_percentage_std,valid_percentage_compute_ci95,grammar_coverage_score_mean,grammar_coverage_score_std,grammar_coverage_score_compute_ci95,covered_rules_mean,covered_rules_std,covered_rules_compute_ci95,valid_solutions_mean,valid_solutions_std,valid_solutions_compute_ci95,total_inputs_mean,total_inputs_std,total_inputs_compute_ci95,mean_length_mean,mean_length_std,mean_length_compute_ci95,median_length_mean,median_length_std,median_length_compute_ci95
BYTE,53.36,15.322483842742697,10.96104463352992,0.51248,0.06887051941465556,0.04926700168106059,24.6,3.306559138036599,2.3653699143948885,1440.5,644.9419009147689,461.363642769228,2645.6,762.8739811470248,545.7271707988588,63.211,19.402035660666584,13.879380199746947,62.4,20.5869430033267,14.727011850254213
Math,21.634,2.78810250090551,1.9944883785768377,0.36187,0.0076843347142091685,0.005497041905599642,109.0,0.0,0.0,876.1,87.19002236494724,62.371984630501714,4068.0,218.33816788540557,156.1897162338073,29.808,1.4592829289300508,1.0439081209752108,31.7,2.2135943621178655,1.5835100139587435
PERSON,25.837,15.410076104794406,11.023704363098199,0.9429500000000001,0.1482963193519426,0.10608479617844324,327.2,51.46692573337215,36.817220752447085,475.9,325.87402132998847,233.11623163483893,1783.2,329.13955162581794,235.45225128361693,32.667,4.439487082485494,3.175817743423556,32.6,4.1952353926806065,3.001090610326625
