subject,valid_percentage_mean,valid_percentage_std,valid_percentage_compute_ci95,grammar_coverage_score_mean,grammar_coverage_score_std,grammar_coverage_score_compute_ci95,covered_rules_mean,covered_rules_std,covered_rules_compute_ci95,valid_solutions_mean,valid_solutions_std,valid_solutions_compute_ci95,total_inputs_mean,total_inputs_std,total_inputs_compute_ci95,mean_length_mean,mean_length_std,mean_length_compute_ci95,median_length_mean,median_length_std,median_length_compute_ci95
BYTE,58.221000000000004,21.0421315196177,15.05263409890152,0.48331999999999997,0.06271481838006428,0.044863478434874954,23.2,3.0110906108363236,2.1540044629651915,1652.1,664.4442038275298,475.3147498402034,2862.6,412.846272169732,295.3324319008624,67.933,16.094433854942245,11.513264405821001,68.0,16.110727964792762,11.524920509829213
Math,22.119,2.3978390734622326,1.7153107406075085,0.3633,0.0,4.185831612432143e-17,109.0,0.0,0.0,867.6,84.43037894554833,60.3978546524182,3936.7,314.82730715954955,225.21388836473142,29.598000000000003,1.1949783819522986,0.8548360380152275,31.8,2.0439612955674527,1.4621618283209237
PERSON,28.161,12.87684265131273,9.211538317714165,0.95562,0.13172105037203094,0.09422756304534209,331.6,45.709712072794524,32.69875820120423,549.0,291.80663308278497,208.74589018381806,1875.2,287.93471482264863,205.97608671707562,35.073,3.669520253233233,2.6250166547496145,35.0,3.6514837167011063,2.612114093781567
