subject,valid_percentage_mean,valid_percentage_std,valid_percentage_compute_ci95,grammar_coverage_score_mean,grammar_coverage_score_std,grammar_coverage_score_compute_ci95,covered_rules_mean,covered_rules_std,covered_rules_compute_ci95,valid_solutions_mean,valid_solutions_std,valid_solutions_compute_ci95,total_inputs_mean,total_inputs_std,total_inputs_compute_ci95,mean_length_mean,mean_length_std,mean_length_compute_ci95,median_length_mean,median_length_std,median_length_compute_ci95
BYTE,60.611000000000004,12.289511743307335,8.791387096582486,0.48749000000000003,0.035670823745277684,0.025517370107846774,23.4,1.7126976771553508,1.225190111192996,1845.6,435.23613003620096,311.34917134934267,3073.4,498.35734613271654,356.50336919725186,75.15799999999999,10.087831834002348,7.216400168724293,73.6,15.457468529268734,11.0576068612366
Math,20.744999999999997,2.132360455249325,1.5253987776813551,0.3633,0.0,4.185831612432143e-17,109.0,0.0,0.0,837.3,129.5316778072281,92.66138026136771,4020.6,380.5776895428552,272.248878472841,30.147000000000002,0.7602638430907456,0.5438599905147629,32.1,1.5238839267549953,1.0901208909018802
PERSON,29.206,11.715432557101765,8.380715586156311,1.0755,0.1912225579440529,0.1367923774026538,373.2,66.35560765049678,47.46794218266274,563.7,224.87727517223453,160.86751179032345,1936.8,156.9648226691432,112.2858698908323,34.122,5.099446157291115,3.647924025243767,33.9,5.877452206904319,4.204476025721528
